videoId,ar,duration,seconds
-aE1HHyFhtA,ENG_TBA_1_1,12:03,723
lfnT5SSo_qg,ENG_BES_1_1, 25:04,1504
dnwf9CQ03RA,ENG_MTA_1_3,05:31,331
BPpaEWPy8JA,ENG_TBB_1_1,16:38,998
NlRDUCxhs_4,ENG_MTA_2_5,13:46,826
vbZy9fKY_u0,ENG_MTA_1_7,06:55,415
adyfw9PICHE,ENG_TBA_3_1,10:05,605
_ZGiXGKL8QQ,ENG_MTA_1_5,09:30,570
UnXkqDjBGlo,ENG_ASL_Sequence_of_events,06:25,385
PlK9T-Ffd-Y,ENG_MTA_1_8,05:23,323
mOk6rUZtBDM,ENG_MTA_2_2,09:00,540
iWr4QyEAzRo,ENG_MTA_1_2,04:07,247
1oAErHnvIRU,ENG_ASL_Pre-reading,10:19,619
63ehUQqPZjw,ENG_ASL_Cause_and_result,09:13,553
HnVGuUVzqvs,ENG_MTA_1_1,02:47,167
FLO3rS52oYI,ENG_TBB_2_3,06:55,415
GaYwtcJv6vc,ENG_MTA_1_6,07:24,444
ScN1QcqnZsc,ENG_TBB_2_4,08:24,504
nBo21wDtbok,ENG_MTA_1_9,08:45,525
PoEV7rxuUmw,ENG_ASL_Purpose,07:10,430
44zHiuNfnso,ENG_ASL_Main_idea_VS_topic,06:04,364
b1dDwdAg2I8,ENG_ASL_Research,07:15,435
CyxmfRnCtNE,ENG_TBA_8_2,12:57,777
jv5FInUmzcg,ENG_BES_1_4,09:24,564
xZkXb6tDTDM,ENG_BES_2_2,10:01,601
JEvN0KIXLNM,ENG_BES_1_3,08:24,504
wy3jHHsU05E,ENG_ASL_Dictionary,06:50,410
3LprFN2T580,ENG_MTA_3_1,01:30,90
xuu8v2piJ2E,ENG_MTA_4_1,01:35,95
HdG3V2ZzylM,ENG_MTA_3_3,06:41,401
BdcVBA-Ddjg,ENG_MTA_2_7,01:52,112
VW3VEvTyxG8,ENG_BES_2_3,07:23,443
1Cl-lfDMmlY,ENG_MTA_1_4,10:07,607
vo2PPP8KZBM,ENG_MTA_2_3,09:55,595
tFRHKDIkURc,ENG_MTA_5_7,01:44,104
BWxOoD9rvgo,ENG_BES_1_2,15:30,930
ZoXkS4pnR7Y,ENG_BES_1_5,11:30,690
jUaIkFF7m9g,ENG_ASL_Reference_words,07:46,466
QmMULk1YVUE,ENG_TBB_2_1,07:54,474
nMF0z8-xzcE,ENG_ASL_Ideas_and_supporting_details,08:21,501
g60_wNAn9Tw,ENG_TBA_6_6,09:05,545
pnr5bvahyAo,ENG_BES_2_5,10:49,649
6aKEUOragIk,ENG_MTA_3_6,09:59,599
44D8xeNTCrc,ENG_MTA_3_9,02:06,126
0696KEOCKds,ENG_MTA_3_2,09:52,592
wAuXm9ASqcU,ENG_TBA_8_4,05:53,353
LzTXLndgqXM,ENG_TBB_2_2,06:38,398
tTTbD_xlMro,ENG_MTA_2_4,06:41,401
MDBKIf0DhiE,ENG_TBA_3_2,10:19,619
iBR-_vpybIs,ENG_TBB_6_1,10:23,623
qwWeL_xKZq0,ENG_MTA_3_8,09:39,579
Z_Iin9UfiT0,ENG_MTA_5_6,11:37,697
bjT6DUYbtWE,ENG_ASL_Listing,05:29,329
7OFGcjR0_wM,ENG_MTA_2_6,12:15,735
PA836nijz9c,ENG_TBA_8_1,06:00,360
IIh1PD3Csw0,ENG_TBA_2_1,13:18,798
CmJVRDA9Wtg,ENG_TBA_1_2,15:53,953
P9csfK_QuOo,ENG_MTA_2_1,01:05,65
7SUJRDZvst4,ENG_TBB_3_1,01:42,102
5f2PEgIOf0g,ENG_MTA_3_4,16:29,989
mRtl_nYOfaY,ENG_MTA_5_3,10:26,626
9fouHr_DHVg,ENG_MTA_5_1,01:12,72
d07QtDbQXBU,ENG_BES_2_4,07:17,437
08q5tu3eq7k,ENG_BES_2_1,10:15,615
XCvr-S6HMNA,ENG_TBA_1_3,10:59,659
PxI0pqaML3w,ENG_TBB_4_1,09:06,546
i6TOrWkdzhM,ENG_BES_5_1,13:42,822
2cccfLgTJlE,ENG_TBB_1_3,11:32,692
fd3f7yzuh3M,ENG_BES_5_2,17:53,1073
_yBPBhxazPQ,ENG_TBB_1_2,17:17,1037
Y2ypPtaZUQw,ENG_TBA_3_3,14:01,841
MmJfLZ3LczA,ENG_TBA_1_0,01:17,77
6UesGvABpYE,ENG_MTA_5_5,14:20,860
vKaG6F0v7cQ,ENG_TBA_2_4,09:29,569
dERDVlOZmZw,ENG_MTA_3_7,12:24,744
axTXwwXsk8s,ENG_TBB_3_3,06:00,360
03e03J1_XVw,ENG_MTA_4_2,11:34,694
k4PlE3YyCoQ,ENG_MTA_4_4,09:06,546
oFr6xAr4j18,ENG_BES_3_1,22:11,1331
61a7bSiMigY,ENG_BES_4_3,24.03,1443
YRB1KCeZseQ,ENG_TBB_3_4,04:30,270
vwQ6ysMyAXw,ENG_BES_4_2,18:45,1125
KYkGdjiIlFk,ENG_TBB_4_2,06:17,377
oE092wRAaK8,ENG_BES_3_2,21:04,1264
pBvIC81CWdE,ENG_TBB_6_2,15:25,925
nx4nQj_mvrU,ENG_MTA_4_3,12:29,749
5FWcKD8UKC8,ENG_BES_5_4,11:10,670
tUuhFbQASgo,ENG_TBB_6_3,05:29,329
CIgs5aK5JNg,ENG_BES_6_5,09:44,584
cS9CQS4KWwA,ENG_BES_7_1,13:17,797
M_UEK4UwM9g,ENG_BES_7_5,12:54,774
UE5P4fhsf2A,ENG_BES_6_1,21:41,1301
QY0HiCbDyLI,ENG_BES_4_1,15:03,903
51DqEmoqQnI,ENG_MTA_5_2,11:02,662
#NAME?,ENG_TBB_3_2,07:00,420
OrOwfpDLKT4,ENG_TBA_2_3,04:17,257
A5siOauXjrA,ENG_TBA_2_2,09:38,578
0Te3GaK1kL4,ENG_BES_6_2,13:10,790
ykW14M0qIKU,ENG_ASL_Comparison_and_contrast,08:40,520
3zfgJpopqZY,ENG_TBB_3_5,05:34,334
J91LraXjc8w,ENG_TBA_7_3,06:51,411
fL2CSMkfUeE,ENG_BES_7_3,10:22,622
la-2Z8ShL2k,ENG_BES_7_2,13:42,822
zVDw91uc8Xc,ENG_TBA_7_5,04:21,261
L5tb2n5uhVA,ENG_MTA_4_5,14:27,867
xBDXKpNvASU,ENG_BES_2_6,07:02,422
Wua-ivqmZQ4,ENG_TBB_5_4,05:53,353
8V5CJGrpqgA,ENG_TBA_7_2,06:17,377
lzCTBapBTuQ,ENG_BES_6_3,17:13,1033
gW2LtXOAxOA,ENG_BES_5_5,11:40,700
QHNLbwEiLAE,ENG_BES_6_4,09:58,598
RoBHrDgSfTI,ENG_MTA_1_11,01:46,106
M0UDuKeYkY0,ENG_MTA_3_5,12:59,779
uZOy45e3-t0,ENG_TBB_4_3,06:51,411
wAWcWxUE9qg,ENG_MTA_4_7,04:09,249
zBFDONfhRBA,ENG_TBA_8_5,08:23,503
tWOkzw_RM4s,ENG_TBA_6_5,05:34,334
tJiCkoxsJTU,ENG_TBB_4_4,03:25,205
tyWGM_4dP8I,ENG_TBB_4_5,04:21,261
JsweHUOJsrk,ENG_MTA_4_6,20:05,1205
Co1kdogp-0w,ENG_TBA_5_1,07:54,474
yIyPwt2ioWI,ENG_TBA_5_2,06:38,398
WsQTvFhRgBA,ENG_TBA_5_3,06:55,415
XiP_-cbq9F4,ENG_TBA_5_4,08:24,504
hU4gWpX6gZ4,ENG_MTA_1_10,10:15,615
uOtAAjvDkiQ,ENG_TBA_4_1,16:39,999
4nokUmvHkS8,ENG_TBA_4_2,17:17,1037
